schema,feature_schema,group_id,candidate_index,label_action,target_score,is_positive,is_noop,is_roundtrip,source,reason,current_text,candidate_text,label_text,origin,origin_detail,layer,owner_block_name,text_style_name,font,bigfont,is_from_xref,f00_current_len_norm,f01_candidate_len_norm,f02_abs_len_delta_norm,f03_text_equal,f04_candidate_empty,f05_current_cjk_ratio,f06_candidate_cjk_ratio,f07_current_ascii_ratio,f08_candidate_ascii_ratio,f09_current_control_ratio,f10_candidate_control_ratio,f11_current_replacement_ratio,f12_candidate_replacement_ratio,f13_current_private_use_ratio,f14_candidate_private_use_ratio,f15_current_digit_ratio,f16_candidate_digit_ratio,f17_current_punctuation_ratio,f18_candidate_punctuation_ratio,f19_current_symbol_ratio,f20_candidate_symbol_ratio,f21_current_bopomofo_or_kana_ratio,f22_candidate_bopomofo_or_kana_ratio,f23_normalized_edit_distance,f24_character_overlap,f25_candidate_roundtrip,f26_source_has_big5,f27_source_has_gbk,f28_source_has_utf8,f29_source_has_current,f30_source_has_safe,f31_current_cad_keyword_ratio,f32_candidate_cad_keyword_ratio,f33_candidate_cjk_ratio_improved,f34_candidate_has_control,f35_candidate_has_replacement,f36_candidate_has_private_use,f37_candidate_has_suspicious_unicode,f38_current_has_suspicious_unicode,f39_is_from_xref,f40_layer_hash01,f41_owner_block_hash01,f42_text_style_hash01,f43_font_hash01,f44_bigfont_hash01,f45_typeface_hash01,f46_known_cad_text_style,f47_known_cad_font,f48_known_cad_bigfont,f49_candidate_length_le_1,f50_current_length_le_1,f51_length_risk,f52_candidate_loses_cjk,f53_candidate_becomes_ascii_from_nonascii,f54_candidate_mostly_symbols,f55_current_mostly_symbols
dbtext-ai-training-row-v1,dbtext-ai-features-v1,56ebb510-977a-5547-abd4-28f7180ddf12,0,keep,0.0,0,0,1,gbk-carrier-to-big5,roundtrip-ok,新风机房,陔瑞儂滇,新风机房,synthetic-seed-v1,clean-text,E-LIGHT-TEXT,PIPE_DETAIL,DIMTXT,txt.shx,hzfs.shx,0,0.0625,0.0625,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6060120546272983,0.7520103761348897,0.44939345387960633,0.4145571068894484,0.23857480735484857,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dbtext-ai-training-row-v1,dbtext-ai-features-v1,56ebb510-977a-5547-abd4-28f7180ddf12,1,keep,1.0,1,1,1,current-noop,current text,新风机房,新风机房,新风机房,synthetic-seed-v1,clean-text,E-LIGHT-TEXT,PIPE_DETAIL,DIMTXT,txt.shx,hzfs.shx,0,0.0625,0.0625,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6060120546272983,0.7520103761348897,0.44939345387960633,0.4145571068894484,0.23857480735484857,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dbtext-ai-training-row-v1,dbtext-ai-features-v1,f7e64f08-6753-576f-b5f5-cc318de39d6a,0,keep,0.0,0,0,1,gbk-carrier-to-big5,roundtrip-ok,FM-01 防火门,FM-01 滅鳶藷,FM-01 防火门,synthetic-seed-v1,clean-text,F-FIRE-TEXT,EQUIPMENT_BLOCK,STANDARD,simplex.shx,,0,0.140625,0.140625,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,1.0,1.0,1.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6406347753109026,0.9796444647898069,0.23254749370565347,0.2908674753948272,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dbtext-ai-training-row-v1,dbtext-ai-features-v1,f7e64f08-6753-576f-b5f5-cc318de39d6a,1,keep,1.0,1,1,1,current-noop,current text,FM-01 防火门,FM-01 防火门,FM-01 防火门,synthetic-seed-v1,clean-text,F-FIRE-TEXT,EQUIPMENT_BLOCK,STANDARD,simplex.shx,,0,0.140625,0.140625,0.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6406347753109026,0.9796444647898069,0.23254749370565347,0.2908674753948272,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dbtext-ai-training-row-v1,dbtext-ai-features-v1,e30159a5-5666-5634-9c93-0dface5b0f70,0,unknown,1.0,1,1,1,current-noop,current text,////,////,////,synthetic-seed-v1,unknown-pattern,H-HVAC-TEXT,TITLE_BLOCK,STANDARD,simplex.shx,hzfs.shx,0,0.0625,0.0625,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2285801480125124,0.894651712825208,0.23254749370565347,0.2908674753948272,0.23857480735484857,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
dbtext-ai-training-row-v1,dbtext-ai-features-v1,f1da989c-bfc0-5788-b557-02e6e97826a6,0,keep,0.0,0,0,1,gbk-carrier-to-big5,roundtrip-ok,自动喷淋系统,赻雄驗邀炵苀,自动喷淋系统,synthetic-seed-v1,clean-text,A-ANNO-TEXT,PIPE_DETAIL,STANDARD,txt.shx,hzfs.shx,0,0.09375,0.09375,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027786678873884182,0.7520103761348897,0.23254749370565347,0.4145571068894484,0.23857480735484857,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dbtext-ai-training-row-v1,dbtext-ai-features-v1,f1da989c-bfc0-5788-b557-02e6e97826a6,1,keep,1.0,1,1,1,current-noop,current text,自动喷淋系统,自动喷淋系统,自动喷淋系统,synthetic-seed-v1,clean-text,A-ANNO-TEXT,PIPE_DETAIL,STANDARD,txt.shx,hzfs.shx,0,0.09375,0.09375,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027786678873884182,0.7520103761348897,0.23254749370565347,0.4145571068894484,0.23857480735484857,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dbtext-ai-training-row-v1,dbtext-ai-features-v1,8a0f2b6f-7777-5e7e-8b83-6069599f0fd3,0,glyph-issue,0.0,0,0,1,gbk-carrier-to-big5,roundtrip-ok,卫生间排水,怹汜潔齬阨,卫生间排水,synthetic-seed-v1,font-glyph-risk,H-HVAC-TEXT,TITLE_BLOCK,TEXT,txt.shx,gbcbig.shx,0,0.078125,0.078125,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2285801480125124,0.894651712825208,0.26755168993667505,0.4145571068894484,0.01773098344396124,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dbtext-ai-training-row-v1,dbtext-ai-features-v1,8a0f2b6f-7777-5e7e-8b83-6069599f0fd3,1,glyph-issue,1.0,1,1,1,current-noop,current text,卫生间排水,卫生间排水,卫生间排水,synthetic-seed-v1,font-glyph-risk,H-HVAC-TEXT,TITLE_BLOCK,TEXT,txt.shx,gbcbig.shx,0,0.078125,0.078125,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2285801480125124,0.894651712825208,0.26755168993667505,0.4145571068894484,0.01773098344396124,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dbtext-ai-training-row-v1,dbtext-ai-features-v1,f40d0cea-c4f4-5d73-a075-dbf0ed294c55,0,keep,0.0,0,0,1,gbk-carrier-to-big5,roundtrip-ok,压力排水管,揤薯齬阨奪,压力排水管,synthetic-seed-v1,clean-text,E-LIGHT-TEXT,FIRE_PLAN,STANDARD,txt.shx,chineset.shx,0,0.078125,0.078125,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6060120546272983,0.8158236057068742,0.23254749370565347,0.4145571068894484,0.8417944609750515,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
