group_id	handle	layer	owner_block	text_style	font	bigfont	is_xref	has_problem	problem_reason	candidate_count	current_text	position_x	position_y	position_z
c7f5b3f1f6d5b94fd286122bb30f04ef	1DC3	PUB_TEXT	*Model_Space	_TCH_WINDOW	SIMPLEX	GBCBIG	0	0	no-suspicious-dbtext	4	陡坡	236044.414938	-371007.788419	79783.451028
27421db224f099b71869598f4671ee5f	1DE0	PUB_TEXT	*Model_Space	_HZTXT	txt.shx	tssdchn.shx	0	1	roundtrip-candidate-improved	4	(囀窒齬阨僱砆獗阨囥)	234653.003684	-408981.873418	0
01320762c39e991b19d675ca32367e4b	1DE1	PUB_TEXT	*Model_Space	_HZTXT	txt.shx	tssdchn.shx	0	1	roundtrip-candidate-improved	4	秏滅阨喀囀票离	252699.632613	-408990.759483	0
96318e7e2ca2a08b67cffcad7d2776ae	1DE3	PUB_TEXT	*Model_Space	_HZTXT	txt.shx	tssdchn.shx	0	1	roundtrip-candidate-improved	3	砆獗阨囥馱芞祧	252755.632613	-409485.259483	0
c1ef5c42712e4122936f6d5685084699	1DEB	PUB_TEXT	*Model_Space	_HZTXT	txt.shx	tssdchn.shx	0	0	no-suspicious-dbtext	2	潰党韌800遵X500詢,階善褽菁	243682.813383	-413416.995181	0
7046071d7d5e1080b3345b395823c268	1DED	PUB_TEXT	*Model_Space	_HZTXT	txt.shx	tssdchn.shx	0	1	roundtrip-candidate-improved	4	阨喀柲阨羞滅	244499.445081	-411042.625994	0
f935f78866f607484b54f43222d4c940	576B	0	*Model_Space	TSSD_Dimension	ming.shx	tssdchn.shx	0	1	roundtrip-candidate-improved	3	扢掘堍俴瘧萇勣阨苤衾0.2/僅萇	53519.378246	-795956.006412	0
08086ac70de555ac1166cb92519b4e84	576D	0	*Model_Space	TSSD_Dimension	ming.shx	tssdchn.shx	0	0	no-suspicious-dbtext	3	嫩阨硃喃善湛5煦笘	53808.78316	-796317.782186	0
33fcc95a5b8e50ea854d9565fec4b202	576E	0	*Model_Space	TSSD_Dimension	ming.shx	tssdchn.shx	0	0	no-suspicious-dbtext	2	祥凄詼俋褲腔諷秶嶄	53771.217348	-797355.386395	0
67e60f50bf012647d8e71cdf0a32a327	576F	0	*Model_Space	TSSD_Dimension	ming.shx	tssdchn.shx	0	0	no-suspicious-dbtext	4	婑秞腴衾50煦探	53788.898523	-796666.639832	0
e5739f64efd10266fe2189853cb16d0c	5770	0	*Model_Space	TSSD_Dimension	ming.shx	tssdchn.shx	0	1	roundtrip-candidate-improved	2	炵苀饜拸郯薯砦隙概	53759.222389	-796987.269857	0
cc657f1e00fbc16b63b89846385f636c	5777	TWT_TEXT	*Model_Space	_TWT_SERIAL	COMPLEX	tssdchn.shx	0	0	no-suspicious-dbtext	4	價插喜渡	45251.954628	-796912.462227	0
c29f9da0756020ad6afcafcb65e9f644	5778	TWT_TEXT	*Model_Space	_TWT_SERIAL	COMPLEX	tssdchn.shx	0	0	no-suspicious-dbtext	1	:(	45922.449955	-796912.462227	0
feff878ce9bda5fde4b99cac13e8f829	5779	TWT_TEXT	*Model_Space	_TWT_SERIAL	COMPLEX	tssdchn.shx	0	0	no-suspicious-dbtext	3	酗	46175.362857	-796912.462227	0
e36f2e0d9ab23098870b8de30844feb3	577A	TWT_TEXT	*Model_Space	_TWT_SERIAL	COMPLEX	tssdchn.shx	0	0	no-suspicious-dbtext	1	)2200*(	46342.989067	-796912.462227	0
e0cd926b2756f61df6a2860395649925	577B	TWT_TEXT	*Model_Space	_TWT_SERIAL	COMPLEX	tssdchn.shx	0	0	no-suspicious-dbtext	3	遵	47132.866505	-796912.462227	0
2e4815cfbad303b35aa085f4ffd3ad50	577C	TWT_TEXT	*Model_Space	_TWT_SERIAL	COMPLEX	tssdchn.shx	0	0	no-suspicious-dbtext	1	)1900*(	47314.719377	-796912.462227	0
cc26e20ab5fd13df1d125afe296c6b18	577D	TWT_TEXT	*Model_Space	_TWT_SERIAL	COMPLEX	tssdchn.shx	0	0	no-suspicious-dbtext	3	綠	48171.065569	-796912.459216	0
fc0535dcf206b6dc5d301c905d7086d5	577E	TWT_TEXT	*Model_Space	_TWT_SERIAL	COMPLEX	tssdchn.shx	0	0	no-suspicious-dbtext	1	)200	48384.562304	-796912.459216	0
30d2048a9b153219109aeea0a442ee2b	577F	TWT_TEXT	*Model_Space	_TWT_SERIAL	COMPLEX	tssdchn.shx	0	0	no-suspicious-dbtext	2	阨懾價插猁ㄩ	45246.840142	-797260.354412	0
40d338fd89928ccbc713555ead18aaf9	5780	TWT_TEXT	*Model_Space	_TWT_SERIAL	COMPLEX	tssdchn.shx	0	0	no-suspicious-dbtext	1	C20	46273.342845	-797260.354412	0
3f9ba7a8b3131020df097b68fb035e06	5781	TWT_TEXT	*Model_Space	_TWT_SERIAL	COMPLEX	tssdchn.shx	0	0	no-suspicious-dbtext	2	匼髦覽桶醱蘑	46740.558618	-797260.354412	0
1256d926333f73d8650a2ac3fa0da258	5784	水-字	*Model_Space	W-ST	romanc.shx	tssdchn.shx	0	1	roundtrip-candidate-improved	4	阨掙滇跤齬阨扢數佽隴	46121.132003	-774022.231241	0
